budget,genres,original_language,runtime,vote_average,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_commercial
237000000,Action Adventure Fantasy Science Fiction,en,162.0,7.2,James Cameron,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,1
300000000,Adventure Fantasy Action,en,169.0,6.9,Gore Verbinski,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
245000000,Action Adventure Crime,en,148.0,6.3,Sam Mendes,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
250000000,Action Crime Drama Thriller,en,165.0,7.6,Christopher Nolan,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
260000000,Action Adventure Science Fiction,en,132.0,6.1,Andrew Stanton,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
258000000,Fantasy Action Adventure,en,139.0,5.9,Sam Raimi,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
260000000,Animation Family,en,100.0,7.4,Byron Howard,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
280000000,Action Adventure Science Fiction,en,141.0,7.3,Joss Whedon,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
250000000,Adventure Fantasy Family,en,153.0,7.4,David Yates,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
250000000,Action Adventure Fantasy,en,151.0,5.7,Zack Snyder,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
270000000,Adventure Fantasy Action Science Fiction,en,154.0,5.4,Bryan Singer,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,0
200000000,Adventure Action Thriller Crime,en,106.0,6.1,Marc Forster,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
200000000,Adventure Fantasy Action,en,151.0,7.0,Gore Verbinski,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
255000000,Action Adventure Western,en,149.0,5.9,Gore Verbinski,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
225000000,Action Adventure Fantasy Science Fiction,en,143.0,6.5,Zack Snyder,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,1
225000000,Adventure Family Fantasy,en,150.0,6.3,Andrew Adamson,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
220000000,Science Fiction Action Adventure,en,143.0,7.4,Joss Whedon,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
380000000,Adventure Action Fantasy,en,136.0,6.4,Rob Marshall,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
225000000,Action Comedy Science Fiction,en,106.0,6.2,Barry Sonnenfeld,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
250000000,Action Adventure Fantasy,en,144.0,7.1,Peter Jackson,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
215000000,Action Adventure Fantasy,en,136.0,6.5,Marc Webb,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Action Adventure,en,140.0,6.2,Ridley Scott,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
250000000,Adventure Fantasy,en,161.0,7.6,Peter Jackson,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
180000000,Adventure Fantasy,en,113.0,5.8,Chris Weitz,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
207000000,Adventure Drama Action,en,187.0,6.6,Peter Jackson,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Drama Romance Thriller,en,194.0,7.5,James Cameron,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
250000000,Adventure Action Science Fiction,en,147.0,7.1,Anthony Russo,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
209000000,Thriller Action Adventure Science Fiction,en,131.0,5.5,Peter Berg,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
150000000,Action Adventure Science Fiction Thriller,en,124.0,6.5,Colin Trevorrow,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1
200000000,Action Adventure Thriller,en,143.0,6.9,Sam Mendes,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
200000000,Action Adventure Fantasy,en,127.0,6.7,Sam Raimi,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,Action Adventure Science Fiction,en,130.0,6.8,Shane Black,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
200000000,Family Fantasy Adventure,en,108.0,6.4,Tim Burton,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
210000000,Adventure Action Science Fiction Thriller,en,104.0,6.3,Brett Ratner,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1
