budget,original_language,popularity,runtime,vote_average,vote_count,director,success
237000000,en,150.437577,162.0,7.2,11800,James Cameron,1
300000000,en,139.082615,169.0,6.9,4500,Gore Verbinski,1
245000000,en,107.376788,148.0,6.3,4466,Sam Mendes,1
250000000,en,112.31295,165.0,7.6,9106,Christopher Nolan,1
260000000,en,43.926995,132.0,6.1,2124,Andrew Stanton,0
258000000,en,115.699814,139.0,5.9,3576,Sam Raimi,1
260000000,en,48.681969,100.0,7.4,3330,Byron Howard,1
280000000,en,134.27922900000002,141.0,7.3,6767,Joss Whedon,1
250000000,en,98.885637,153.0,7.4,5293,David Yates,1
250000000,en,155.790452,151.0,5.7,7004,Zack Snyder,1
270000000,en,57.925623,154.0,5.4,1400,Bryan Singer,1
200000000,en,107.928811,106.0,6.1,2965,Marc Forster,1
200000000,en,145.84737900000005,151.0,7.0,5246,Gore Verbinski,1
255000000,en,49.046956,149.0,5.9,2311,Gore Verbinski,0
225000000,en,99.398009,143.0,6.5,6359,Zack Snyder,1
225000000,en,53.978602,150.0,6.3,1630,Andrew Adamson,1
220000000,en,144.448633,143.0,7.4,11776,Joss Whedon,1
380000000,en,135.413856,136.0,6.4,4948,Rob Marshall,1
225000000,en,52.035179,106.0,6.2,4160,Barry Sonnenfeld,1
250000000,en,120.965743,144.0,7.1,4760,Peter Jackson,1
215000000,en,89.866276,136.0,6.5,6586,Marc Webb,1
200000000,en,37.668301,140.0,6.2,1398,Ridley Scott,1
250000000,en,94.370564,161.0,7.6,4524,Peter Jackson,1
180000000,en,42.990906,113.0,5.8,1303,Chris Weitz,1
207000000,en,61.22601,187.0,6.6,2337,Peter Jackson,1
200000000,en,100.025899,194.0,7.5,7562,James Cameron,1
250000000,en,198.372395,147.0,7.1,7241,Anthony Russo,1
209000000,en,64.928382,131.0,5.5,2114,Peter Berg,1
150000000,en,418.708552,124.0,6.5,8662,Colin Trevorrow,1
200000000,en,93.004993,143.0,6.9,7604,Sam Mendes,1
200000000,en,35.149586,127.0,6.7,4321,Sam Raimi,1
200000000,en,77.68208,130.0,6.8,8806,Shane Black,1
200000000,en,78.530105,108.0,6.4,4645,Tim Burton,1
210000000,en,3.857526,104.0,6.3,3525,Brett Ratner,1
200000000,en,89.186492,104.0,7.0,3528,Dan Scanlon,1
150000000,en,21.939663,150.0,6.0,3138,Michael Bay,1
210000000,en,116.840296,165.0,5.8,3095,Michael Bay,1
200000000,en,46.985445,130.0,5.7,3530,Sam Raimi,1
200000000,en,89.270217,142.0,6.5,4179,Marc Webb,1
170000000,en,73.79505,125.0,6.3,2841,Joseph Kosinski,1
200000000,en,49.98659,106.0,5.8,2033,John Lasseter,1
200000000,en,51.872839,114.0,5.1,2487,Martin Campbell,0
200000000,en,59.99541800000001,103.0,7.6,4597,Lee Unkrich,1
200000000,en,71.862892,115.0,5.9,2463,McG,1
190000000,en,102.322217,137.0,7.3,4176,James Wan,1
200000000,en,81.834855,116.0,6.7,5560,Marc Forster,1
250000000,en,118.078691,131.0,7.5,6032,Bryan Singer,1
190000000,en,78.29101800000002,132.0,7.4,4418,J.J. Abrams,1
195000000,en,43.349855,114.0,5.5,2598,Bryan Singer,0
105000000,en,61.196071,143.0,7.3,3769,Baz Luhrmann,1
150000000,en,62.169881,116.0,6.2,2317,Mike Newell,1
180000000,en,56.523205,131.0,6.7,4794,Guillermo del Toro,1
195000000,en,28.529607,154.0,6.1,3299,Michael Bay,1
185000000,en,75.674458,122.0,5.7,2495,Steven Spielberg,1
175000000,en,51.692953,93.0,6.6,1736,Peter Sohn,1
185000000,en,125.114374,93.0,6.7,4641,Brenda Chapman,1
185000000,en,65.352913,122.0,6.6,2568,Justin Lin,1
180000000,en,66.390712,98.0,7.8,6296,Andrew Stanton,1
140000000,en,22.57178,91.0,6.1,783,Brett Ratner,1
200000000,en,45.274225,158.0,5.6,4903,Roland Emmerich,1
200000000,en,39.744242,96.0,6.6,1095,Robert Zemeckis,1
176000003,en,85.36908000000003,124.0,5.2,2768,Lilly Wachowski,0
180000000,en,42.741719,109.0,5.5,2430,David Yates,1
180000000,en,67.391328,143.0,6.7,2629,Andrew Adamson,1
178000000,en,139.272042,144.0,6.4,4721,Bryan Singer,1
185000000,en,187.322927,152.0,8.2,12002,Christopher Nolan,1
175000000,en,92.201962,96.0,7.7,6870,Pete Docter,1
175000000,en,36.167578000000006,94.0,6.0,1423,Conrad Vernon,1
140000000,en,120.725053,126.0,7.4,8776,Jon Favreau,1
170000000,en,32.319043,126.0,7.0,2141,Martin Scorsese,0
170000000,en,40.748915,106.0,5.1,1020,Barry Sonnenfeld,0
145000000,en,60.034162,112.0,5.2,1387,Rob Cohen,1
175000000,en,90.23792,123.0,5.9,7458,David Ayer,1
175000000,en,27.082182,96.0,5.3,1151,Tom Shadyac,0
178000000,en,79.456485,113.0,7.6,4858,Doug Liman,1
175000000,en,44.640292,135.0,5.9,992,Kevin Reynolds,1
175000000,en,32.852443,118.0,5.6,1962,Stephen Sommers,1
175000000,en,128.65596399999998,94.0,8.0,6560,Pete Docter,1
175000000,en,94.199316,106.0,6.7,2892,Jon Favreau,1
200000000,en,77.30019399999998,124.0,6.6,6849,Jon Favreau,1
170000000,en,77.178973,127.0,5.8,3118,Rupert Sanders,1
180000000,en,110.620647,97.0,7.0,4496,Robert Stromberg,1
170000000,en,243.79174300000005,130.0,7.3,4410,Matt Reeves,1
27000000,en,2.418535,109.0,4.8,34,Roland Joff\u00e9,0
175000000,en,41.796339,119.0,5.9,1326,Carl Rinsch,0
170000000,en,72.22526500000002,136.0,7.6,5764,Anthony Russo,1
165000000,en,44.041186,93.0,6.0,1959,Mike Mitchell,1
190000000,en,130.311355,130.0,6.2,2846,Brad Bird,0
165000000,en,203.73459,102.0,7.8,6135,Chris Williams,1
165000000,en,62.341073,108.0,7.1,4570,Rich Moore,1
165000000,en,47.323228,100.0,6.4,1474,Robert Zemeckis,1
165000000,en,48.775723,120.0,4.9,2491,Roland Emmerich,1
165000000,en,67.263269,98.0,7.5,4227,Chris Sanders,1
200000000,en,69.405188,109.0,5.9,2143,Jonathan Mostow,1
170000000,en,481.098624,121.0,7.9,9742,James Gunn,1
165000000,en,724.247784,169.0,8.1,10867,Christopher Nolan,1
160000000,en,167.58371,148.0,8.1,13752,Christopher Nolan,1
15000000,ja,9.476999,120.0,6.5,143,Hideaki Anno,1
250000000,en,108.849621,169.0,7.0,8297,Peter Jackson,1
38000000,en,6.909942,106.0,6.6,3428,Rob Cohen,1
150000000,en,60.269279,166.0,7.3,3292,David Fincher,1
160000000,en,3.195174,132.0,7.1,5181,Matthew Vaughn,1
160000000,en,127.284427,137.0,6.6,3984,Francis Lawrence,1
150000000,en,35.580815,109.0,5.8,1470,Jon Turteltaub,1
160000000,en,21.133748,99.0,5.5,583,Wolfgang Petersen,0
170000000,en,56.268916,113.0,6.5,1725,James Bobin,1
160000000,en,42.986467,93.0,6.0,2278,Chris Miller,1
160000000,en,63.148529,123.0,6.3,2268,Duncan Jones,1
155000000,en,202.042635,126.0,5.8,3631,Alan Taylor,1
155000000,en,49.661984,113.0,6.2,1514,Michael Apted,1
140000000,en,34.20669,183.0,6.6,1791,Michael Bay,1
150000000,en,25.468493,144.0,6.6,4040,Michael Bay,1
155000000,en,39.019229,175.0,5.6,927,Oliver Stone,0
150000000,en,78.14439499999997,138.0,7.4,5494,David Yates,1
150000000,en,101.250416,157.0,7.5,5608,Mike Newell,1
150000000,en,56.758411,92.0,6.2,2961,Peter Berg,1
150000000,en,70.867401,101.0,6.9,4853,Francis Lawrence,1
150000000,en,53.90559200000001,115.0,6.7,3624,Tim Burton,1
150000000,en,65.677399,111.0,7.5,4369,Jan Pinkava,1
150000000,en,115.040024,140.0,7.5,7359,Christopher Nolan,1
150000000,en,44.141021,89.0,6.2,1810,Eric Darnell,1
150000000,en,81.781591,105.0,5.9,1971,Shawn Levy,1
150000000,en,5.954333999999999,107.0,6.2,4021,Gavin Hood,1
150000000,en,73.313918,129.0,6.4,3096,Lilly Wachowski,1
150000000,en,165.125366,102.0,7.3,5295,Chris Buck,1
150000000,en,70.78591,138.0,6.7,3443,Lilly Wachowski,1
170000000,en,99.499595,112.0,6.8,4755,Alan Taylor,1
150000000,en,434.278564,120.0,7.2,9427,George Miller,1
150000000,en,67.447636,138.0,6.5,2129,Ron Howard,1
150000000,en,86.493424,115.0,6.6,6525,Kenneth Branagh,1
150000000,en,41.845878000000006,98.0,6.3,1750,Chris Williams,1
150000000,en,26.710398,88.0,5.1,510,Hoyt Yeatman,1
150000000,en,44.927635,99.0,5.5,1431,Jonathan Liebesman,1
150000000,en,50.306728,113.0,5.7,2320,Tim Burton,1
150000000,en,114.52223700000002,131.0,7.1,3224,Christopher McQuarrie,1
150000000,en,21.214571,102.0,5.5,549,Joe Johnston,0
150000000,en,29.332905,91.0,5.7,1171,Steve Hickner,1
150000000,en,51.247321,91.0,6.7,1880,Jennifer Yuh Nelson,1
150000000,en,33.769336,103.0,4.7,1151,M. Night Shyamalan,1
150000000,en,63.079003,126.0,6.5,2028,J.J. Abrams,1
150000000,en,39.004588,131.0,6.4,1891,Roland Emmerich,1
150000000,en,12.362599,88.0,5.5,199,Simon Wells,0
149000000,en,22.550135,85.0,6.0,874,David Bowers,0
150000000,en,48.03528,111.0,5.9,954,Joe Wright,0
145000000,en,38.73494,92.0,6.7,843,Rob Minkoff,1
175000000,en,66.803149,163.0,6.9,2759,Wolfgang Petersen,1
145000000,en,44.989192,93.0,6.4,1808,Conrad Vernon,1
140000000,en,54.159392,133.0,5.8,1092,Lee Tamahori,1
144000000,en,66.21806,116.0,5.3,2142,Paul Feig,1
140000000,en,58.485967,151.0,6.4,2482,Michael Bay,1
140000000,en,91.332849,88.0,6.0,3114,Barry Sonnenfeld,1
70000000,en,35.60166500000001,115.0,5.5,841,Robert Zemeckis,1
145000000,en,56.747978,95.0,6.7,1603,Jennifer Yuh Nelson,1
145000000,en,77.77476999999998,133.0,6.8,3972,Brad Bird,1
145000000,en,61.788035,97.0,7.1,1922,Peter Ramsey,1
100000000,en,25.159168,90.0,5.9,627,Dean Parisot,1
140000000,en,52.341226,154.0,7.3,1895,Edward Zwick,1
140000000,en,101.599427,150.0,5.6,1921,Ridley Scott,1
150000000,en,73.61680799999998,127.0,7.4,4518,J.J. Abrams,1
139000000,en,82.502566,121.0,6.8,5265,Sam Raimi,1
145000000,en,100.21391,102.0,7.6,3106,Dean DeBlois,1
140000000,en,56.257249,127.0,5.3,1277,Alex Proyas,0
135000000,en,17.88953,121.0,4.9,331,Rob Cohen,0
130000000,en,64.798873,163.0,7.0,2811,Zack Snyder,1
140000000,en,24.855701,127.0,6.3,767,Richard Donner,1
137000000,en,34.981698,138.0,5.3,1533,Ang Lee,1
130000000,en,59.325589,110.0,5.4,3025,Jon M. Chu,1
130000000,en,21.605568,124.0,5.7,434,Breck Eisner,0
137000000,en,26.074908,106.0,5.9,433,Hironobu Sakaguchi,0
140000000,en,74.50624599999998,124.0,6.6,7047,Joe Johnston,1
135000000,en,39.604363,128.0,6.0,862,Michael Apted,1
150000000,en,36.973031,138.0,6.9,790,Peter Weir,1
120000000,en,99.687084,115.0,6.1,2553,Bill Condon,1
130000000,en,17.7735,100.0,5.8,373,George Miller,0
150000000,en,62.898336,114.0,6.1,3021,Louis Leterrier,0
140000000,en,44.19092,120.0,6.0,1000,Steven Spielberg,0
135000000,en,100.635882,156.0,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,1
135000000,en,44.765377,96.0,6.1,1074,David Soren,1
135000000,en,29.91353,107.0,6.6,2051,Gore Verbinski,1
132000000,en,84.366984,92.0,6.5,1346,Eric Darnell,1
70000000,en,45.381501,115.0,7.3,2888,Paul Greengrass,1
130000000,en,84.68964799999998,90.0,6.9,3145,Mark Osborne,1
130000000,en,120.09361,117.0,7.0,5880,Peyton Reed,1
130000000,en,76.310119,146.0,7.4,6495,Francis Lawrence,1
135000000,en,63.473086,94.0,6.8,1519,Tim Johnson,1
132000000,en,48.572726,116.0,6.2,2322,Steven Spielberg,1
130000000,en,38.068736,147.0,6.3,1564,Michael Bay,1
130000000,en,20.678787,90.0,6.4,451,Chris Miller,1
110000000,en,48.829437,100.0,6.2,2093,Phillip Noyce,1
125000000,en,46.115758,139.0,5.6,2350,Darren Aronofsky,1
