budget,genres,original_language,revenue,runtime,vote_average,vote_count,director
237000000,Action Adventure Fantasy Science Fiction,en,2787965087,162.0,7.2,11800,James Cameron
300000000,Adventure Fantasy Action,en,961000000,169.0,6.9,4500,Gore Verbinski
245000000,Action Adventure Crime,en,880674609,148.0,6.3,4466,Sam Mendes
250000000,Action Crime Drama Thriller,en,1084939099,165.0,7.6,9106,Christopher Nolan
260000000,Action Adventure Science Fiction,en,284139100,132.0,6.1,2124,Andrew Stanton
258000000,Fantasy Action Adventure,en,890871626,139.0,5.9,3576,Sam Raimi
260000000,Animation Family,en,591794936,100.0,7.4,3330,Byron Howard
280000000,Action Adventure Science Fiction,en,1405403694,141.0,7.3,6767,Joss Whedon
250000000,Adventure Fantasy Family,en,933959197,153.0,7.4,5293,David Yates
250000000,Action Adventure Fantasy,en,873260194,151.0,5.7,7004,Zack Snyder
270000000,Adventure Fantasy Action Science Fiction,en,391081192,154.0,5.4,1400,Bryan Singer
200000000,Adventure Action Thriller Crime,en,586090727,106.0,6.1,2965,Marc Forster
200000000,Adventure Fantasy Action,en,1065659812,151.0,7.0,5246,Gore Verbinski
255000000,Action Adventure Western,en,89289910,149.0,5.9,2311,Gore Verbinski
225000000,Action Adventure Fantasy Science Fiction,en,662845518,143.0,6.5,6359,Zack Snyder
225000000,Adventure Family Fantasy,en,419651413,150.0,6.3,1630,Andrew Adamson
220000000,Science Fiction Action Adventure,en,1519557910,143.0,7.4,11776,Joss Whedon
380000000,Adventure Action Fantasy,en,1045713802,136.0,6.4,4948,Rob Marshall
225000000,Action Comedy Science Fiction,en,624026776,106.0,6.2,4160,Barry Sonnenfeld
250000000,Action Adventure Fantasy,en,956019788,144.0,7.1,4760,Peter Jackson
215000000,Action Adventure Fantasy,en,752215857,136.0,6.5,6586,Marc Webb
200000000,Action Adventure,en,310669540,140.0,6.2,1398,Ridley Scott
250000000,Adventure Fantasy,en,958400000,161.0,7.6,4524,Peter Jackson
180000000,Adventure Fantasy,en,372234864,113.0,5.8,1303,Chris Weitz
207000000,Adventure Drama Action,en,550000000,187.0,6.6,2337,Peter Jackson
200000000,Drama Romance Thriller,en,1845034188,194.0,7.5,7562,James Cameron
250000000,Adventure Action Science Fiction,en,1153304495,147.0,7.1,7241,Anthony Russo
209000000,Thriller Action Adventure Science Fiction,en,303025485,131.0,5.5,2114,Peter Berg
150000000,Action Adventure Science Fiction Thriller,en,1513528810,124.0,6.5,8662,Colin Trevorrow
200000000,Action Adventure Thriller,en,1108561013,143.0,6.9,7604,Sam Mendes
200000000,Action Adventure Fantasy,en,783766341,127.0,6.7,4321,Sam Raimi
200000000,Action Adventure Science Fiction,en,1215439994,130.0,6.8,8806,Shane Black
200000000,Family Fantasy Adventure,en,1025491110,108.0,6.4,4645,Tim Burton
210000000,Adventure Action Science Fiction Thriller,en,459359555,104.0,6.3,3525,Brett Ratner
200000000,Animation Family,en,743559607,104.0,7.0,3528,Dan Scanlon
150000000,Science Fiction Action Adventure,en,836297228,150.0,6.0,3138,Michael Bay
210000000,Science Fiction Action Adventure,en,1091405097,165.0,5.8,3095,Michael Bay
200000000,Fantasy Adventure Family,en,491868548,130.0,5.7,3530,Sam Raimi
200000000,Action Adventure Fantasy,en,705717432,142.0,6.5,4179,Marc Webb
170000000,Adventure Action Science Fiction,en,400062763,125.0,6.3,2841,Joseph Kosinski
200000000,Animation Family Adventure Comedy,en,559852396,106.0,5.8,2033,John Lasseter
200000000,Adventure Action Thriller Science Fiction,en,219851172,114.0,5.1,2487,Martin Campbell
200000000,Animation Family Comedy,en,1066969703,103.0,7.6,4597,Lee Unkrich
200000000,Action Science Fiction Thriller,en,371353001,115.0,5.9,2463,McG
190000000,Action,en,1506249360,137.0,7.3,4176,James Wan
200000000,Action Drama Horror Science Fiction Thriller,en,531865000,116.0,6.7,5560,Marc Forster
250000000,Action Adventure Fantasy Science Fiction,en,747862775,131.0,7.5,6032,Bryan Singer
190000000,Action Adventure Science Fiction,en,467365246,132.0,7.4,4418,J.J. Abrams
195000000,Action Family Fantasy,en,197687603,114.0,5.5,2598,Bryan Singer
105000000,Drama Romance,en,351040419,143.0,7.3,3769,Baz Luhrmann
150000000,Adventure Fantasy Action Romance,en,335154643,116.0,6.2,2317,Mike Newell
180000000,Action Science Fiction Adventure,en,407602906,131.0,6.7,4794,Guillermo del Toro
195000000,Action Science Fiction Adventure,en,1123746996,154.0,6.1,3299,Michael Bay
185000000,Adventure Action,en,786636033,122.0,5.7,2495,Steven Spielberg
175000000,Adventure Animation Family,en,331926147,93.0,6.6,1736,Peter Sohn
185000000,Animation Adventure Comedy Family Action,en,538983207,93.0,6.7,4641,Brenda Chapman
185000000,Action Adventure Science Fiction,en,343471816,122.0,6.6,2568,Justin Lin
180000000,Animation Family,en,521311860,98.0,7.8,6296,Andrew Stanton
140000000,Action Comedy Crime Thriller,en,258022233,91.0,6.1,783,Brett Ratner
200000000,Action Adventure Science Fiction,en,769653595,158.0,5.6,4903,Roland Emmerich
200000000,Animation Drama,en,325233863,96.0,6.6,1095,Robert Zemeckis
176000003,Science Fiction Fantasy Action Adventure,en,183987723,124.0,5.2,2768,Lilly Wachowski
180000000,Action Adventure,en,356743061,109.0,5.5,2430,David Yates
180000000,Adventure Family Fantasy,en,748806957,143.0,6.7,2629,Andrew Adamson
178000000,Science Fiction,en,543934787,144.0,6.4,4721,Bryan Singer
185000000,Drama Action Crime Thriller,en,1004558444,152.0,8.2,12002,Christopher Nolan
175000000,Animation Comedy Family Adventure,en,735099082,96.0,7.7,6870,Pete Docter
175000000,Animation Family Adventure Science Fiction,en,381509870,94.0,6.0,1423,Conrad Vernon
140000000,Action Science Fiction Adventure,en,585174222,126.0,7.4,8776,Jon Favreau
170000000,Adventure Drama Family,en,185770160,126.0,7.0,2141,Martin Scorsese
170000000,Action Adventure Comedy Science Fiction Western,en,222104681,106.0,5.1,1020,Barry Sonnenfeld
145000000,Adventure Action Fantasy,en,401128639,112.0,5.2,1387,Rob Cohen
175000000,Action Adventure Crime Fantasy Science Fiction,en,745000000,123.0,5.9,7458,David Ayer
175000000,Fantasy Comedy Family,en,173000000,96.0,5.3,1151,Tom Shadyac
178000000,Action Science Fiction,en,370541256,113.0,7.6,4858,Doug Liman
175000000,Adventure Action,en,264218220,135.0,5.9,992,Kevin Reynolds
175000000,Adventure Action Thriller Science Fiction,en,302469017,118.0,5.6,1962,Stephen Sommers
175000000,Drama Comedy Animation Family,en,857611174,94.0,8.0,6560,Pete Docter
175000000,Family Adventure Drama Fantasy,en,966550600,106.0,6.7,2892,Jon Favreau
200000000,Adventure Action Science Fiction,en,623933331,124.0,6.6,6849,Jon Favreau
170000000,Adventure Fantasy Drama,en,396600000,127.0,5.8,3118,Rupert Sanders
180000000,Fantasy Adventure Action Family Romance,en,758539785,97.0,7.0,4496,Robert Stromberg
170000000,Science Fiction Action Drama Thriller,en,710644566,130.0,7.3,4410,Matt Reeves
27000000,Action Adventure Science Fiction Romance,en,0,109.0,4.8,34,Roland Joff\u00e9
175000000,Drama Action Adventure Fantasy,en,150962475,119.0,5.9,1326,Carl Rinsch
170000000,Action Adventure Science Fiction,en,714766572,136.0,7.6,5764,Anthony Russo
165000000,Comedy Adventure Fantasy Animation Family,en,752600867,93.0,6.0,1959,Mike Mitchell
190000000,Adventure Family Mystery Science Fiction,en,209154322,130.0,6.2,2846,Brad Bird
165000000,Adventure Family Animation Action Comedy,en,652105443,102.0,7.8,6135,Chris Williams
165000000,Family Animation Comedy Adventure,en,471222889,108.0,7.1,4570,Rich Moore
165000000,Adventure Animation Family Fantasy,en,305875730,100.0,6.4,1474,Robert Zemeckis
